AMJ,0.9999999999999001
AMLP,0.9999999999998922
AMU,0.999999999999756
AMUB,0.384439529089639
AMZA,0.9999999999998633
ATMP,0.13708601837072593
CRAK,0.0008789197632879872
DDG,0.9999999999999142
DIG,0.9212042569394837
DRIP,1.1899144056980678e-216
DUG,0.9999999999998092
ENFR,0.07920582348154796
ENY,0.9999999999997734
ERY,0.6664166631456093
FAN,0.11374545734783836
FCG,0.9999999999999827
FENY,0.9999999999997172
FILL,0.014052024585850337
FRAK,0.9999999999998833
FXN,0.9999999999998933
GASL,5.005116977969093e-226
GEX,0.9999999999955983
GREK,0.9999999999996614
GRID,0.01813287245911391
GUSH,7.815272393080956e-238
ICLN,0.9999999999995517
IEO,0.7486018766530431
IEZ,0.9999999999999754
IMLP,0.9999999999994938
IXC,0.07409282020656771
IYE,0.9999999999970078
KOL,0.00021354509398408274
MLPA,0.9999999999998108
MLPB,0.3591402396304259
MLPC,0.999999999999749
MLPG,0.5074400640774317
MLPI,0.9999999999998197
MLPO,0.9611451910398597
MLPY,0.48072559711731866
NLR,0.000491619735775918
OIH,0.9999999999999238
PBD,0.9999999999996448
PBW,0.9999999999998348
PSCE,0.9999999998462011
PUW,0.14483426824230772
PXE,0.9999999999996604
PXI,0.9999999999996803
PXJ,0.9999998497175796
PZD,0.002652730231109673
QCLN,0.08946385414573214
RYE,0.9999999999986776
TAN,0.9999999999999806
VDE,0.9999999999980348
XES,0.9999999936642563
XLE,0.7273937376559306
XOP,0.9999999999989423
YLCO,0.0033793023589820254
YMLI,0.33143823449448456
YMLP,0.9999999999998067
ZMLP,0.9999999999999574
